id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
776;"2017-12-25";"Repeater";70;"DMR";"Brandmeister";240097;0;"SKØRYG";"Upplands Väsby";"RU381";434.7625;-2;"CC 0";"QRV";59.523;17.9251;"JO89XM";70;"";50;"";"Aerial OY AV1914-H (4 stack 10dBi)";0
777;"2017-12-07";"Repeater";70;"DMR / D-Star";"Brandmeister";240203;2;"SK2DR";"Luleå";"RU392";434.9;-2;"CC 2";"QRV";65.6141;22.2024;"KP15CO";60;150;80;"Omni";"Aerial OY AV1915-H  (2 stack 7dBi)";0
778;"2025-10-16";"Repeater";70;"DMR / D-Star";"Brandmeister";240301;3;"SK3RFG";"Sundsvall / Klissberget";"RU384";434.8;-2;"CC 1";"QRT";62.3785;17.202;"JP82OJ";320;60;20;"45°";"4 stack";0
780;"2018-06-24";"Repeater";70;"DMR / D-Star";"Brandmeister";240208;2;"SK2RJH";"Kalix / Raggdynan";"RU380";434.75;-2;"CC 2";"QRV";65.92;22.833;"KP15KW";160;"";35;"Omni";"Aerial OY AV1914-H (4 stack 10dBi)";0
781;"2017-10-05";"Repeater";70;"DMR / D-Star / C4FM";"Brandmeister";2403117;3;"SM3YFX";"Föllinge";"RU362";434.525;-2;"CC 3";"QRV";63.67;14.607;"JP73HQ";"";18;"";"";"";0
783;"2022-12-19";"Repeater";70;"FM / DMR";"Brandmeister";240702;7;"SK7REE";"Söderåsen / Stenestad";"RU372";434.65;-2;"79.7 / CC 7";"QRV";56.0517;13.1047;"JO66NB";220;20;25;"";"4 stack dipole";0
784;"2020-11-05";"Repeater";70;"FM / DMR";"Brandmeister";240501;5;"SL5ZYT/R";"Norrköping";"RU396";434.95;-2;"82.5 / CC 5";"QRV";58.6875;16.2917;"JO88DQ";150;30;"";"";"";2
785;"2023-09-04";"Repeater";70;"FM / DMR";"Brandmeister";240563;5;"SG5BCG/R";"Knivsta";"RU362";434.525;-2;"82.5 / CC 5";"QRV";59.7255;17.7868;"JO89VR";"";"";"";"Omni";"X-300";2
786;"2025-11-04";"Repeater";70;"FM / DMR";"Brandmeister";240509;5;"SM5DWC/R";"Linköping";"RU390";434.875;-2;"82.5 / CC 5";"QRT";58.5643;15.5266;"JO78SM";"";"";"";"";"";0
787;"2018-04-02";"Repeater";2;"FM / DMR";"Brandmeister";240205;2;"SK2HG/R3";"Seskarö";"RV54";145.675;-0.6;"107.2 / CC 2";"QRV";65.7318;23.7242;"KP15UR";77;50;30;"Omni";"Aerial OY AV1312 (2 dBi)";0
788;"2018-06-24";"Repeater";2;"FM / DMR";"Brandmeister";240207;2;"SK2HG/R5";"Kalix / Raggdynan";"RV58";145.725;-0.6;"107.2 / CC 2";"QRV";65.92;22.833;"KP15KW";160;"";75;"Omni";"Aerial OY AV1431 (2 stack 7dBi)";0
789;"2018-06-24";"Repeater";70;"FM / DMR";"Brandmeister";240204;2;"SK2HG/RU5";"Kalix-Vattentorn";"RU378";434.725;-2;"107.2 / CC 2";"QRV";65.8596;23.1535;"KP15NU";45;"";5;"Omni";"Procom (2dBi)";0
790;"2018-08-04";"Repeater";70;"FM / DMR";"Brandmeister";240024;0;"SKØRPF";"Sigtuna";"RU391";434.8875;-2;"123.0 / CC 0";"QRV";59.6368;17.8088;"JO89VP";"";"";"";"";"";0
791;"2026-05-19";"Repeater";70;"FM / DMR";"Brandmeister";240607;6;"SK6RP/R";"Hemsjö";"RU386";434.825;-2;"118.8 / CC 6";"QRV";57.8309;12.4888;"JO67FT";209;12;25;"Omni";"Diamond X-300N";2
792;"2021-03-31";"Repeater";2;"FM / DMR";"SvxReflector / Brandmeister";240609;6;"SK6IF";"Tanumshede";"RV46";145.575;-0.6;"118.8 / CC 6";"QRV";58.7239;11.3252;"JO58PR";"";90;25;"210°";"2-Stackad dipol";2
793;"2018-08-17";"Repeater";70;"FM / DMR";"Brandmeister";240712;7;"SK7REE";"Örkelljunga";"RU398";434.975;-2;"79.7 / CC 7";"QRV";56.28;13.27;"JO66PG";20;20;25;"Omni";"4x dipol";0
794;"2018-08-18";"Repeater";70;"D-Star";"ircDDB";"";"OZ";"OZ4REN-B";"Aalborg / Støvring";"RU362";434.525;-2;"DV Carrier";"QRV";56.8888;9.819;"JO46VV";49;15;15;"Omni";"";0
795;"2023-04-04";"Repeater";2;"FM";"";"";"OZ";"OZ4REN";"Aalborg";"RV52";145.65;-0.6;"1750 / 94.8";"QRV";56.8888;9.819;"JO46VV";49;15;15;"Omni";"";0
796;"2018-08-18";"Hotspot";70;"D-Star";"ircDDB";"";"OZ";"OZ3DSR-B";"Aalborg east";"";434.475;"Duplex 0";"DV Carrier";"QRV";57.0266;10.0045;"JO57AA";12;6;1;"Omni";"";0
797;"2018-08-18";"Repeater";70;"FM";"";"";"OZ";"OZ9REP";"Aalborg city";"RU397";434.9625;-2;"1750 / 94.8";"QRV";57.0529;9.9174;"JO47XB";"";"";"";"Omni";"";0
798;"2018-08-18";"Hotspot";70;"D-Star";"";"";"OZ";"OZ5DST-B";"Aalborg west";"";434.4875;"Duplex 0";"DV Carrier";"QRV";57.0421;9.9744;"JO47XA";47;6;15;"Omni";"";0
