Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
157,VAXJOH,145.675,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7HW/R | RV54 | Växjö / Hollstorp | Echolink / SvxReflector | D7,,,,
158,VARNAM,145.6,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7GH/R | RV48 | Värnamo | D7,,,,
159,MOHEDA,145.6375,-,0.6,Tone,225.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SM7HZK/R | RV51 | Moheda | SvxReflector / Echolink | D7,,,,
160,NASSJO,145.65,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RFH | RV52 | Nässjö | D7,,,,
161,VETLAN,145.625,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7IJ/R | RV50 | Vetlanda | D7,,,,
162,SPJUTS,145.725,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7JL | RV58 | Spjutsbygd | SvxReflector | D7,,,,
163,EMMABO,145.775,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7DL/R | RV62 | Emmaboda | D7,,,,
164,NYBRO,145.6875,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SL7ZXW/R | RV55 | Nybro | D7,,,,
165,MORBYL,145.625,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RN/R | RV50 | Mörbylånga | SvxReflector / Echolink | D7,,,,
166,ALGUTS,145.6,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RFL | RV48 | Algutsrum / Öland | Echolink / SvxReflector | D7,,,,
167,BORGHO,145.6625,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RN/R | RV53 | Borgholm | SvxReflector / Echolink | D7,,,,
168,BORGH1,145.3125,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SK7RN | V25 | Borgholm | SvxReflector | D7,,,,
169,HULTSF,145.7625,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK5CN/R | RV61 | Hultsfred / Gåskullen | D7,,,,
170,OSKARS,145.725,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RIH | RV58 | Oskarshamn | D7,,,,
171,JONKOP,145.7,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RGI | RV56 | Jönköping | SvxReflector | D7,,,,
172,HUSKVA,145.75,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RGI | RV60 | Huskvarna | D7,,,,
173,VASTE1,145.675,-,0.6,Tone,77.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7JD/R | RV54 | Västervik | D7,,,,
174,BODA,145.75,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RN/R | RV60 | Böda | SvxReflector / Echolink | D7,,,,
